UA,品牌,型号
ZTE Q5-T,,
SM-G900P,三星,GALAXY S5
NOAIN X15,,
asus,,
lephone T6V,,
SM-G930F,三星,GALAXY S7
SUBOR_R10+,,
k62v1_64_bsp,,
HT-I860,,
A33f,,
EBEN K8S,,
Lenovo A708t,,
CPH1819,,
ivvi V3,,
vivo S7t,vivo,S7t
EML-L29,,
MI PAD 4 PLUS,小米,PAD 4 PLUS
XT1079,,
Coolpad A118,,
HUAWEI G750-T01,,
msm8916,,
X9000,,
Coolpad SK1-01,酷派,ivvi 小K mini
Letv X910,,
H20,,
ramos R9,,
P21,,
SmartProjector,,
GT-I9515,,
SCH-I619,,
D200,,
Bird L902,,
BOWAY U12,,
lephone W9+,,
MATE8,,
HOPE8BGMA900,,
Ben15,,
Lenovo S650,,
SM-T2556,三星,GALAXY Tab Q
SM-G975W,三星,GALAXY S10+
Lenovo A850,,
Lenovo S6000L-F,,
BZK-L00,,
H9A,,
ZTE A530,,
V15-S,,
UOOGOU F5,,
LYA,,
SCH-W999,,
Pixel XL,,
WP-S2,,
SM-G5108,三星,GALAXY Core Max
LC-1011T,,
SM-T311,三星,GALAXY Tab 3
R3,,
SKW-A0,,
XM50h,,
MLLED L820,,
H12,,
20170608S,,
Hisense E51-M,,
HUAWEI C8812E,,
Mi MIX 2,小米,MIX 2
DUK,,
GT-S6812C,,
GN9000L,,
GT-I9268,,
LG-H848,,
Lenovo A816,,
motorola,,
i9,,
ZTE A2018,,
KT-101-B,,
HUAWEI MT2-C00,,
LA2-SN,,
A96,,
TCL_P620M,,
Lenovo A2800-d,,
zh-cn;GiONEE-V185/ V185,,
InFocus M560,,
R829T,,
Coolpad S6-NT,酷派,S6
BF T66,,
lephone T10,,
SM-G928P,三星,GALAXY S6 Edge+
Coolpad 5951,酷派,5951
BM001,,
OWWO Q8,,
H60-L12,,
I4293,,
SM-N960N,三星,GALAXY Note 9
T10 PLUS,,
MATE 20X,,
KT107,,
LG-F700L,,
Lenovo L38012,,
Coolpad 5263C,酷派,5263C
VOTO IX20(GT20),,
MediaPad X1 7.0,,
ONE E1001,,
P023,,
YTONE_V3,,
HUAWEI G610-U00,,
SM-J700H,三星,GALAXY J7
SM-G9308,三星,GALAXY J7
XM-T Pro,,
M200,,
ZTE BV0720T,,
SM-J3119S,三星,GALAXY J3 Pro
COL,,
vivo Y928,vivo,Y928
MHA-L09,,
GT-I9152P,,
CPH1725,,
M9-C,,
Lenovo TB3-730M,,
ASUS_X003A,,
YOGA Tablet 2-1050LC,,
Lenovo A820e,,
msm8996,,
JKM-AL20,,
koobee K10,,
DOOV A10,,
GPLUS-N808,,
evb3562v_c_66_m0,,
KOOMII-K19,,
SM-C5018,三星,GALAXY C5 Pro
SM-G955U,三星,GALAXY S8+
P308L,,
S1,,
LENOVO,,
koobee A3,,
Lenovo A2860,,
dazen 6A,,
Lenovo K50a40,,
SM-T239C,三星,GALAXY Tab 4
LG-V930,,
TECNO AX8,,
ZYVM2,,
LG-F320K,,
SM-J701F,三星,GALAXY J7 Core
U3,,
Lenovo_S6000,,
CPH1611,,
PAR-LX9,,
Lm1.X9Plus,,
vivo Y19t,vivo,Y19t
X80,,
KT108   KT-101-B,,
PCAT10,,
Lenovo B8000-H,,
xiaolajiao S3,,
GM-T9+,,
ART-T0,,
vivo Y55n,vivo,Y55n
U707T,,
Lenovo A880,,
A900,,
SLA-AL10,,
M962-3140p,,
ZTE Q802T,,
Z836F,,
MI 2SC,小米,2SC
LA-S1,,
KINGSUN-F3,,
HLTE210T,,
SM-G955F,三星,GALAXY S8+
Hisense F31,,
Coolpad Y80D,酷派,峰尚
HTC D820mu,,
G01111,,
SM-W2019,三星,W2019
INE-LX1r,,
SM-N916K,三星,GALAXY Note 4
Qualcomm snapdragon,,
ZTE Q801L,,
HM NOTE 1W,,
G91_HD,,
TNY-TL00,,
1831-A0,,
M962-31,,
Forme M5,,
imoo,,
Best_sonny_LT580,,
GT-I9128E,,
HLJS6,,
Readboy_G550S,,
2013022,,
H10,,
KONKA D6 ,,
MI 1SC,小米,1SC
HTC 801e,,
Lenovo S858t,,
X9079,,
ums312_1h10_native,,
M040,,
Lenovo TAB 2 A10-70LC,,
W732,,
Lenovo S850t,,
T101,,
HUAWEI Y321-C00,,
Le X529,,
SM-G8858,三星,GALAXY A9 Star
605SH,,
KT108,,
H4233,,
D100,,
M463C,,
5A(Y5),,
DOOV D330,,
ZTE A0622,,
R4,,
Le 1 Pro,,
YT886-10,,
GO C2,,
PRO7S,,
Hisense E75T,,
EVR-TL00,,
Hisense E613M,,
COMIO T11,,
SM-N916S,三星,GALAXY Note 4 S-LTE
A37fw,,
KEJIAN 170801,,
Coolpad 8971,,
R830,,
Lenovo A850+,,
EML,,
SK2-01,,
ioutdoorW1,,
X10 四核 (M1D3),,
V182,,
ZTE Grand S II LTE,,
E601,,
SM-G975U1,三星,GALAXY S10
R819T,,
TCL 580,,
ZTE N983,,
OUJIA 2019 S23,,
ZTE V0900,,
Android,,
H902,,
SOP-H7,,
HTC_A9sx,,
v10,,
SOYES_7S,,
HTC M9pw,,
FS8009,,
AE G23,,
Coolpad 8297_4.4,,
PCAM00,,
EVA-L29,,
NOAIN M16,,
HONOR H30-L01,,
SM-G950F,三星,GALAXY S8
OC106,,
VOORCA,,
HATENG T9,,
Coolpad 5316,,
HMA-L29,,
ZTE BV0800,,
R10,,
Lenovo TB-8504N,,
GT-S7898,,
KFSOWI,,
MO9,,
A3000,,
MI 6X MIKU,小米,6X初音未来限量版
Lenovo A788t,,
CAM-L21,,
HUAWEI Y635-CL00,,
Readboy_G550,,
Coolpad 8729,,
Hisense C1M,,
H8,,
COMIO i2,,
BF T61,,
ZTE Q2S-T,,
Hisense M30,,
Coolpad 8705,,
SM-G935K,三星,GALAXY S7E
LA1-L,,
BIHEE A9,,
HUAWEI G610-T11,,
MLLED MAX3,,
G3226,,
Q18,,
BHL818,,
ix mini,,
SOAP R11,,
OPPO R7 Plus,OPPO,R7 Plus
M2C,,
vivo Y11t,vivo,Y11t
HLTE213M,,
cepheus,,
ZTE U960E,,
KEJIAN 160601,,
lephone W7+,,
SM-G3609,三星,GALAXY Core Prime
KULIAO K10,,
G80_F,,
K2-L,,
T002,,
Coolpad 7295C,,
SO-01H,,
K12,,
VK810 4G,,
HLJ6P,,
SKW-H0,,
GIONEE A1,,
HUAWEI MediaPad,,
SM-G570Y,三星,GALAXY J5 Prime
Lovme-T15,,
M682Q,,
Y12,,
koobee S305,,
KOOMII-K18(F8),,
GOME 2017M95A,,
HUAWEI Y560-CL00,,
SM-G610Y,三星,GALAXY J7 Prime
HTC 2Q4R400,,
Readboy_G90A,,
LZ7,,
SM-A710Y,三星,GALAXY A7
F103B,,
F1,,
VTR-L09,,
20180111S,,
NOSSON S6,,
S08,,
ANE,,
LC_1016T,,
SM-N900P,三星,GALAXY Note 3
SM-A6058,三星,GALAXY A9 Star Lite
Lenovo N308,,
Z97,,
StudentPad,,
T1001,,
ZL10,,
vivo Y11i T,vivo,Y11i T
XT1943-1,,
LA-X5,,
OUJIA2018-S20,,
EBEN T9,,
HDL-AL09,,
lephone T7 ,,
SM-G965U,三星,GALAXY S9 Plus
ZTE U817,,
GT-S6818,,
COMIO T9,,
Coolpad 7270_W00,,
BF T13L,,
Nexus 6P,,
HTC One_M8,,
PHICOMM E1030,,
CMOX CM-N9,,
SM-A530N,三星,GALAXY A8
vivo Y35L,vivo,Y35L
LG-H868,,
SM-G3812,三星,GALAXY Win Pro
HDL-W09,,
BLN-L22,,
SA 8,,
LA2-L1,,
98(M1E7),,
oppo Find7,OPPO,Find7
G9600,,
DOOV V6,,
SM-N910K,三星,GALAXY Note 4
SM-G9298,三星,领世旗舰8
Lenovo A3300-T,,
vivo Y17W,vivo,Y17W
EVA-L09,,
RACCUA/\u96f7\u5c0a,,
Coolpad 5200S,,
ZTE A606,,
Nokia 3.1 Plus,诺基亚,3.1 Plus
KEJIAN 160602,,
Bird L3,,
SOP-M7,,
LNV-Lenovo A780e,,
Lenovo S6000,,
LG-K430,,
UOOGOU T10,,
HTC 2Q4D200,,
X8-R11,,
ASUS_Z012DE,,
koobee,,
Tab2A7-10F,,
X9070,,
HUAWEI SC-CL00,,
SOP-W1,,
vivo Y21,vivo,Y21
Coolpad T1,,
ASUS_X550,,
SAGA A908,,
G808_4G,,
OUKI G12,,
SM-T111,三星,GALAXY Tab 3 Lite
Lenovo A278t,,
Hisense G610M,,
Nexus 4,,
Lovme-T29,,
Coolpad 5263CS,,
HUAGAN HT6,,
OUKI P2,,
ONEPLUS A3003,一加,3
Lenovo TB3-850M,,
GT-I8268,,
SHOWN P1+,,
NG2,,
SM-C7018,三星,GALAXY C7 Pro
HUAWEI MT2-L02,,
LM-Q725L,,
SOP-N9,,
To be filled by O.E.M.,,
HLTE215T,,
YLYH-M9-C,,
ASUS_Z00UDB,,
SUGAR C11s,SUGAR,C11s
X7(20160103),,
ch004_js,,
EYU T31,亿优,T31
ZTE Q302C,,
CPH1729,,
Bird LT02,,
LG-F800K,,
Meizu,,
star R9,,
N20,,
Lenovo A388t,,
Lenovo A330e,,
X909,,
HTC One M9,,
YD201,,
M8,,
NOAIN X12,,
H21,,
SAMSUNG-SM-N900A,三星,GALAXY Note 3
vivo Y11,vivo,Y11
E9105,,
Lenovo A858t,,
K2-01,,
G955F,,
20160212W,,
Y700,,
6000,,
LNV-Lenovo A690e,,
SM-G920F,三星,GALAXY S6
SM-N9007,三星,GALAXY Note 3
Coolpad 7298D,,
ChanghongS07,,
H6,,
SM-G920V,三星,GALAXY S6
rk3368-box,,
violet,,
SM-G892U,三星,GALAXY S8
Student_Tablet,,
SM-N950U,三星,GALAXY Note 8
HUAWEI G630-U00,,
HUAWEI G6-U00,,
HTC 802d,,
HUAWEI G730-T00,,
BLA-L09,,
ChanghongS09,,
SM-G7108,三星,GALAXY Grand 2
ZOL,,
R831T,,
YCT11,,
Z9MINI,,
I7+,,
KOPO_A1,,
DIMR11,,
TCL 302U,,
N111,,
BF_T13L,,
SM-T378L,三星,GALAXY Tab E 8.0
sm6150,,
SM-A720S,三星,GALAXY A7
SCH-I739,,
SM-G920P,三星,GALAXY S6
SCH-I545,,
Hisense E100T,,
OPSSON D9,,
HTC D820us,,
COMIO M7000,,
ChanghongX5,,
ASUS_T001,,
1703-M01,,
P98 3G八核(A4HY),,
HUAWEI G629-UL00,,
BF_A500,,
Lenovo A355e,,
K600,,
GT-I9208,,
V9-X,,
D51732,,
GIONEE F109N,,
SNE-LX1,,
H101  KT-101-B,,
AGM X1,,
Note4X,,
SUGAR S20,SUGAR,S20
JK01-TT,,
Best sonny LT566,,
SM-T815C,三星,GALAXY Tab S2 
SM-G965N,三星,GALAXY S9+
E6,,
MIYU R11S,,
Z103,,
KT96-Pad,,
SM-N900S,三星,GALAXY Note 3
R7,,
PAR-TL20,,
samsung,,
SUGAR C7,SUGAR,C7
LGT32,,
KINGSUN-F8,,
X22,,
n31acl_37t,,
F7,,
AGM X3,,
Coolpad 8732,,
Bird L6,,
20160312W,,
ZTE G717C,,
Lenovo 2 A8-50LC,,
GN180,,
ZTE Q7-C,,
Lenovo A750e,,
X800 ,,
Lenovo A3300-HV,,
LG-M210,,
Lenovo TB-X704N,,
Lenovo A860e,,
KONKA 610,,
K01F,,
HTC U11,,
C6602,,
A107,,
HUAWEI P6 S-U06,,
SINTAVE S1000,,
vivo X5M L,vivo,X5M L
S17,,
Coolpad 8670,,
HTC 919d,,
OYSIN MX6,,
A12,,
lephone T5,,
DOOV C70,,
SM-G901F,三星,GALAXY S5 Plus
Meitu M4s,,
SM-G920W8,三星,GALAXY S6
SM-G5309W,三星,GALAXY Grand Prime
Lenovo A6800,,
BenWee L7,,
WNH V2,,
F160S,,
TETC-F5,,
K019,,
SM-G950U,三星,GALAXY S8
VK 7 Plus,,
GRA-M0,,
A5,,
SM-T705C,三星,GALAXY Tab S
SHOWN_P1,,
DOOV L3C,,
CMR-W19,,
E3 ,,
VOTO GT2017,,
K10,,
P5,,
A29,,
HUAWEI CUN-L33,,
M688C,,
QMobile Z8 Plus,,
C687,,
H8324,,
Skyhon X9,,
SUNGTEL S9,,
M-17,,
X900 ,,
Neolix 1,,
PROTRULY D8,,
SCH-I779,,
GM-Q7,,
X6,,
koobee S600,,
Coolpad 7320,,
SM-J730F,三星,GALAXY J7
HUAMIN H6,,
D1,,
Lovme-T11,,
Pixel,,
T-smart L808,,
koobee S9Q,,
SHV-E310L,,
SM-T310,三星,GALAXY Tab 3 8.0
SM-J250F,三星,GALAXY J2 Pro
Coolpad9976A,,
GIONEE GN5006L,,
Hisense E602T,,
SM-G960N,三星,GALAXY S9
W8,,
QT-9.6,,
SM-A530F,三星,GALAXY A8
MT917,,
MTK6592,,
HUAWEI eH880,,
X7 Plus,,
M9_E,,
HTC 606w,,
ZTE Q505T,,
X30,,
BDS2 Plus,,
Coolpad 7296,,
Lenovo A368t,,
KT971-T97,,
ECETD ET900,,
BF M10,,
H9,,
ASUS_Z016D,,
SUBOR 2017-02,,
SHV-E210K,,
HTC_U-3u,,
SOP-S10,,
Hisense E77MINI,,
4A,,
SM-W2015,三星,W2015
FRD,,
Le X526,乐视,2
E2,,
F100SD,,
X9 mini,,
HONOR H30-L02,,
Lenovo S720,,
CMR-AL19,,
KINGSUN-EF36,,
F3216,,
MI-ONE Plus,小米,MI-ONE PLUS
K88,,
IdeaTabA1010-T,,
GN9000,,
Best sonny LT511,,
SM-G965F,三星,GALAXY S9 Plus
Pioneer M1,,
ifive mini 5,,
SM-J600G,三星,GALAXY J6
JSN-L22,,
HUAWEI P6-C00,,
PCT,,
MediaPad 10 LINK,,
G8141,,
Hisense E9,,
ELE-AL00,,
koobee M7Q,,
K-Touch X21,,
C1905,,
UG905,,
ZXH-Q787,,
CONSTELLATION X,,
DX6,,
STV100-3,,
Lenovo A805e,,
LEX820,,
Lenovo YT3-X50F,,
304SH,,
Haipainoble S6,,
CMCC-M860,,
OUKI P3,,
Ben13,,
X8 Plus,,
WP_V5,,
Y685Q,,
XT1710-11,,
HM-I505-TL,,
GT-I9070,,
KT107H,,
G3311,,
FDR-A01w,,
HUAWEI G716-L070,,
OPSSON V10,,
ANE-LX3,,
NOAIN_M15,,
HTC6525LVW,,
HLTE210M,,
BIOJUET V8,,
VIMX PRIVMA X8+,,
Z999,,
KT101-A,,
Y09,,
KOOMII-K8,,
R9s,,
bbk6750_66_m,,
DOOV A15s,,
YUSUN A8,,
HTC D820ts,,
FS8015,,
P00A,,
vivo Y13T,vivo,Y13T
SM-T3777,三星,GALAXY Tab E
T10,,
GOME 2016M25A,,
SM-J415GN,三星,GALAXY J4 Plus
EBEN 81002,,
6S,,
XXXX,,
SM-G532G,三星,GALAXY J2 Prime
MSM8974,,
HUAWEI G660-L075,,
BLL-L22,,
G3116,,
Coolpad 5892,,
Z970,,
SM-N920L,三星,GALAXY Note 5
HANMAC Q8,,
Lenovo TB-8704N,,
E5353,,
ALE-L21,,
NOAIN X9 Pro,,
CPH1859,,
POL-T0,,
Philips X818,,
XS,,
P23(Z9),,
YUSUN A9,,
GT-N7105,,
msmnile,,
STF,,
G3426,,
LA-X6,,
S-4G02,,
CM810,,
6S plus,,
Lenovo YT-X703L,,
M5L,,
Lenovo TB-8703F,,
MI 6 ,小米,6
V21,,
ZTE GEEK II 4G,,
Coolpad 8675_S01,,
SM-N920S,三星,GALAXY Note 5
20161212,,
CMCC M762,,
LA-S35,,
WISE-WLBM207-TFANBTR,,
Nokia_XL_4G,诺基亚,XL
SM-G965U1,三星,GALAXY S9+
BAH2-AL10,,
RNE-L21,,
SM-A710K,三星,GALAXY A7
SM-A500G,三星,GALAXY A5
AF101_HCB,,
SM-T719C,三星,GALAXY Tab S2
AGM X2,,
W-P611-EEA,,
SM-A500H,三星,GALAXY A5
SM-G973F,三星,GALAXY S10
Hisense K1,,
V919 4G Air Core8,,
ZTE BV0850,,
NX907J,,
Lovme-T23,,
K015,,
NOAIN X9,,
Samsung T800,,
INE-LX1,,
3005,,
X620 Pro,,
Y13,,
CPH1803,,
LG-V507L,,
ASUS_X00ID,,
ASUS_Z012DA,,
YLT X9-S8,,
X6i,,
Lenovo TB-8703R,,
EBEN T6,,
S5517,,
CN-H5,,
SM-N950F,三星,GALAXY Note 8
ZTE A0620,,
C03,,
aikayun,,
XD,,
Laaboo V12,,
aPhone,,
AR5,,
HTC D830u,,
Moto Z3 Play,,
SHV-E250S,,
GM,,
Lenovo X3c50,,
SCL22,,
T600,,
Skyhon X8,,
SM-G3139D,三星,GALAXY Ace 4
Lenovo P780,,
ASUS_T00F,,
TA-1012,,
LGLS992,,
0,,
Y62,,
MT,,
SHOWN P2,,
FITU,,
R830S,,
N919,,
Lingwin 6 2G,,
Lenovo A808t-i,,
5860A,,
天狼星,,
HTC 10,,
CM3,,
HTC 2Q55300,,
SM-G950W,三星,GALAXY S8
F-FOOK F8,,
SM-A520F,三星,GALAXY A5
Xiaomi Redmi 3S,小米,红米3S
16s,,
Coolpad A8,,
SOV31,,
lephone P1,,
V973,,
bee X9,,
M199,,
ZH1,,
U5482,,
Sun005,,
HYF,,
360,,
HL9916004,,
Lenovo X3c70,,
F103L,,
ZTE BA620,,
S10 PRO,,
ZTE Q7,,
EP720D,,
BND-L21,,
UNC-A2,,
P12,,
vivo X5Max F,vivo,X5Max F
INE-LX2r,,
HLA NOTE1-L,,
TAB A10-80HC,,
boway T6,,
1100,,
Lovme-T19,,
SM-G7109,三星,GALAXY Grand 2
F-03G,,
Bird M7,,
C313,,
D3,,
M1L,,
SM-G925S,三星,GALAXY S6 Edge
X9Plus,,
L1,,
Hisense C1T,,
YOGA Tablet 2-830LC,,
GT-I9168,,
ipad,,
K-Touch K5,,
V3MAX_L8,,
HOSIN T80,,
VPad A108,,
ST327 V2.0,,
LG-H961AN,,
m1971,,
Phone,,
V1832A,,
SINTAVE S1,,
HTC_M10h,,
H6S,,
SINTAVE S1000 PLUS,,
Ben16,,
HILARY H2,,
SM-N900W8,三星,GALAXY Note 3
XT1929-15,,
100C,,
SM-G925L,三星,GALAXY S6 Edge
Alcatel_5056O,,
xiaolajiao S2,,
SM-J710F,三星,GALAXY J7
STV100-4,,
XT1635-01,,
HDN-L09,,
SQ51,,
GM2017D07A,,
DOOV A15,,
S60,,
P888A,,
UOOGOU T11,,
L35h,,
IdeaTabA2207A-H,,
T1006S,,
BBF100-4,,
LA-S7,,
SGP771,,
SM-N960F,三星,GALAXY Note 9
ASR8751C,,
Xiaomi Redmi 3X,小米,红米3X
BM002-G5,,
GRACE,,
MX9,,
BZT-W09,,
SAGA_X5,,
Coolpad 5367C,,
CPH1707,,
Coolpad 8297-W01,,
I7_Plus,,
Lenovo S90-e,,
HLJ,,
Le X620 Pro,乐视,2 Pro
IdeaTab S6000-H,,
HHT6A,,
S3 Pro,,
SM-G610F,三星,GALAXY J7 Prime
20150718,,
SCH-I869,,
DOOV V33,,
Lenovo S850,,
emma-m7-A5,,
TCL M2U,,
Namo X9008,,
HP Slate 7 3G,,
R15,,
ROTISS,,
4G-4G,,
C1330,,
koobee S302M,,
IUNI i1,,
HUAWEI SCL-U31,,
SM-G925I,三星,GALAXY S6 Edge
InFocus M550 3D,,
MT7,,
R7sf,,
LG-M700,,
ChanghongS16,,
MD6-小麦,,
UOOGOU T7,,
TG-L900S,,
MI PAD 2,小米,PAD 2
HTC Desire 728 dual sim,,
么么时光,,
HLGM-ABT,,
Mi 4i,小米,4i
BAH2-W09,,
M356,,
V5+,,
N10,,
SM-J600L,三星,GALAXY J6
L39h,,
Neolix 1-C-P,,
DOOV V1,,
6000CEO,,
KONKA D6S,,
X620,,
SM-G3556D,三星,GALAXY Core 2
MOMO7 PLUS,,
HLTE311T,,
SGH-N075T,,
Q21,,
Lenovo L78031,,
Bird L7Plus,,
FRD-L19,,
Readboy_G100,,
T3582,,
A100,,
vivl v17,,
A18,,
LM-Q815S,,
GOME 2017D63A,,
SCH-I699,,
TRT-LX2,,
Lenovo S820,,
LG-P990,,
8227L_demo,,
A10,,
trinket for arm64,,
PT8676-M01,,
BROR T60,,
SM-N920C,三星,GALAXY Note 5
UOOGOU T6,,
HTC_X9u,,
BAH-L09,,
HTC U11 plus,,
X25,,
M5000,,
LG-H990,,
Philips X598,,
Coolpad 5952,,
HUAWEI G6-C00,,
M355,,
ZTE A2017G,,
ASUS_P00J,,
Z380,,
TCL S720,,
HLTE700T,,
CPH1721,,
ASUS_X00KD,,
HUAWEI C8812,,
SM-G610L,三星,GALAXY On7
SM-J510GN,三星,GALAXY J5
SM-J500F,三星,GALAXY J5
M570C,,
M20,,
HYF-F1,,
MediaPad M1 8.0,,
HTC One_M8 dual sim,,
SM-T320,三星,GALAXY Tab Pro 8.4
G21,,
YOORD P8,,
XBS,,
SM-G5528,三星,GALAXY On5
NG3,,
HTC_D10i,,
W2017,,
CM820,,
L-007,,
HS-EG978,,
LG-D858,,
7X,,
V15(R17),,
AX9,,
M8000,,
Infinix_X521,,
SM-G3588V,三星,GALAXY Core Lite
8S,,
HUAWEI A199,,
Q3,,
rk3399-mid,,
SM-T230,三星,GALAXY Tab 4
HUAWEI CRR-CL20,,
LGM-G600K,,
LG-K220,,
HW-HUAWEI TAG-CL00,,
Lenovo A7000-a,,
Y11,,
SM-J500G,三星,GALAXY J5
P10,,
HUAWEI G700-U00,,
XL39h,,
H3,,
weiimi V1,,
LNV-Lenovo A630e,,
LENNY2,,
SUNELAN-X5S,,
T10(E3C6),,
Q1-M5,,
Hisense E621T,,
SAMSUNG-SM-G928A,三星,GALAXY S6 Edge Plus
SM-G160N,三星,GALAXY Floder 2
GT-S7562i,,
ivvi F1,,
SS129,,
MAX3(X23),,
LEX623,,
SOAP R11 lite,,
lPHONE8,,
Lenovo S810t,,
G0111,,
M100,,
LenovoA588t,,
LG-D858HK,,
SBM203SH,,
Best sonny LT680,,
Power_5,,
M963,,
HM NOTE 1LTEW,,
MI-ONE C1,小米,MI-ONE C1
SUGAR F7 mini,SUGAR,F7 mini
N400,,
P80 3G八核(A5LL),,
SM-T550,三星,GALAXY Tab A 9.7
D5303,,
JKL A165,,
F9,,
yeechui S,,
KnowBest N8,,
E6T,,
DZH-AL00,,
vivo Y15S,vivo,Y15S
Best sonny_L81,,
Lovme-T26,,
HL3001,,
NOAIN MATE10 Pro,,
LG-D802,,
UNNO E5,,
MiBOX2,小米,MIBOX2
KT10-PAD,,
GT-I8262D,,
HTC M8t,,
M3L,,
Coolpad 8702D,,
UnisCom-4G,,
AUX T5100L,,
SM-C9008,三星,GALAXY C9 Pro
WAS-LX1A,,
V188,,
P910,,
LG-F600L,,
Lenovo A850 ,,
HUAWEI Y541-U02,,
Q8910,,
A30,,
E910 HLB,,
WP-S,,
PioneerW8,,
MI PAD 3,小米,PAD 3
N958St,,
8720,,
HTC 9088,,
STARXTREM II,,
Readboy_G550A,,
Coolpad 5263,,
K-Touch Tou ch 2,,
Letv X620,乐视,2
EVA-L19,,
TD137,,
SM-G3559,三星,GALAXY Core 2
T93,,
ASUS_Z01QD,,
Lenovo K320t,,
HUAWEI VNS-L31,,
Lovme-T21,,
SOP-M3,,
K3,,
Le X507,乐视,1S
GT-I9105P,,
SM-G928C,三星,GALAXY S6 Edge Plus
Lovme-T12,,
OPPOA33,OPPO,A33
R7plusf,,
1841-C0,,
Coolpad 7296S,,
Best sonny LT529,,
InFocus M680,,
GT-I9260,,
MZT-005,,
CPH1717,,
G2,,
E910S,,
HUAWEI G520-T10,,
Newpad,,
JKL_A300,,
GEM-703LT,,
lephone T6 V,,
F3plus,,
ViVK X20,,
Lenovo S930,,
R11sPlus,,
T8+,,
SS119,,
SHV-E250L,,
KT961,,
LG-H860,,
Lenovo A830,,
M11S+,,
R815W,,
Coolpad 5950,,
Note5,,
A9,,
VM R9,,
Hisense M10-M,,
SHOWN P6,,
SM-T350,三星,GALAXY Tab A 8.0
AUX T6200L,,
LEX550,,
E910(Plus),,
G610-U00,,
HTC S720e,,
POL-A0,,
ZTE N928Dt,,
LC709,,
XT1092,,
KOOMII-W1,,
VKY-L09,,
SHOWN_P1 ,,
LA-A1,,
HLA NX,,
V6,,
E5553,,
HD1,,
PCEM00,,
H9493,,
NX527J_V1,,
SPL-T01,,
Coolpad 8105,,
UOOUOG,,
Che2-TL00H,,
ASUS_Z01BDA,,
CPH1715,,
HTC M8Et,,
R833T,,
WS-HLXS1,,
LNV-Lenovo A385e,,
PCET00,,
T91,,
NOAIN-M11,,
HTC 802t 16GB,,
Lenovo L78032,,
JKM-AL10,,
ATU-L42,,
P1S,,
SM-G928T,三星,GALAXY S6 Edge Plus
Redmi Note 5A Prime,小米,红米Note 5A Prime
SM-G900A,三星,GALAXY S5
PGN518,,
M612Q,,
WS-HLS20,,
GN706L,,
Kindle Fire HDX,,
艾电尼S105,,
Laaboo V15,,
Lenovo S920,,
Coolpad A9S-9,,
SHV-E250K,,
SM-G900,三星,GALAXY S5
MOMO-mini,,
hexing82_wet_jb5,,
iPlus1S,,
HTC D610t,,
detel,,
YLT X6-小R9,,
LG-H870,,
GT-I9082,,
OUKI_P2,,
SM-T817T,三星,GALAXY Tab S2
U5582,,
ChanghongV70t,,
HLJ-XM-E,,
RNE,,
Lenovo S890,,
P98 4G(A8H9),,
M103,,
ANE-LX2J,,
T-Hub2,,
SM-G7105,三星,GALAXY Grand 2
HUAWEI NMO-L31,,
LG-F200K,,
ALP-L09,,
K-T107H,,
C901,,
Lenovo TB2-X30M_PRC_YZ_A,,
P520L,,
Bird L905,,
HUAWEI G620-L72,,
US688,,
D5287CT,,
A99A02,,
K101-A,,
u8800,,
SM-T805,三星,GALAXY Tab S
BF_A503,,
U81-DR,,
Lenovo S880i,,
STV100-1,,
PROTRULY D7,,
ZJ108-X7,,
Lenovo A688t,,
K6_01_JH,,
KOPO L168,,
NIX,,
X10,,
F3116,,
E2363,,
LEX557,,
MI6 Plus,小米,6 PLUS
GT-I8190N,,
A51f,,
HTC 2PZS1,,
HS-U970,,
PCT-L29,,
A57-DONGLI,,
SM-G3818,三星,GALAXY Win Pro
SUGAR C6,SUGAR,C6
EVA-CL00,,
SM-T215,三星,GALAXY Tab 3 7.0
P318L,,
V10 4G,,
EBEN M2,,
SM-C9150,三星,GALAXY C10
BYD Qin,,
DOOV A55,,
OWWO 4S,,
SUGAR Y15,SUGAR,Y15
Onefive P5,,
Lenovo PB1-750P,,
ZYVM3,,
T90,,
M19,,
rkpx3,,
MT6755,,
WAS-LX3,,
HTC One XL,,
Lenovo A678t,,
LG-F460L,,
NOAIN D03,,
HDN-W09,,
DAQ Q5321,,
HUAWEI VNS-L21,,
C11,,
Nexus 11,,
GIONEE S11S,,
SM-G885S,三星,GALAXY A8 Star
NOVA,,
KT-101-D      (KT108),,
HD18,,
lephone W6,,
HUAWEI MT7-L09,,
E12,,
VOG-L09,,
Lenovo TAB S8-50F,,
SC-02F,,
SM-N920I,三星,GALAXY Note 5
Y60,,
W100,,
SOP-N2,,
HTC Flyer P510e,,
M-16,,
S55t,,
W900,,
G708_Oc,,
BOWAY L1,,
DUK-L09,,
NEXT,,
SM-G928S,三星,GALAXY S6 Edge
GIONEE M7Plus,,
Hisense E77M,,
Coolpad 8730L,,
STARADDICT 6,,
BZA-L00,,
NOAIN K1,,
X23S,,
X10.JS,,
DATANG T92,,
M102,,
GO T7,,
XT1942-1,,
SCH-I679,,
WELAI F1,,
koobee S500Q,,
GT-P5110,,
YT866-10,,
SAGA M6,,
SM-G3819D,三星,GALAXY Win Pro
ASUS_Z012D,,
RedMi6 Pro,小米,红米6 Pro
Lenovo A890e,,
CAL5001,,
M9,,
CPH1605,,
UOOGOU T8,,
BOWAY U6,,
LG-F520L,,
Bird L9,,
